total_study_hours,avg_session_length,study_sessions_per_week,focus_ratio,late_night_study_ratio,days_until_deadline_avg,video_completion_rate,practice_problem_attempts,forum_participation,study_streak_days,final_grade,pass_fail
9.6,52.6,11.0,0.446,0.373,7.3,0.727,15.0,1,16.0,75.7,1
7.4,67.5,6.5,0.579,0.112,9.0,0.791,7.0,2,13.0,80.7,1
11.5,59.4,11.7,0.844,0.466,6.0,0.45,11.0,3,21.0,67.6,1
14.8,82.5,10.7,0.497,0.403,7.6,0.652,18.0,1,16.0,80.1,1
16.2,59.0,16.5,0.593,0.251,8.4,0.363,27.0,0,4.0,89.5,1
13.8,24.5,25.0,0.617,0.218,3.6,0.775,3.0,1,9.0,63.9,1
16.8,85.2,11.8,0.851,0.362,4.1,0.783,11.0,1,6.0,86.0,1
8.7,41.9,12.5,0.886,0.409,6.5,0.699,25.0,1,11.0,82.2,1
22.2,46.9,25.0,0.82,0.43,10.2,0.434,7.0,2,9.0,71.1,1
14.6,48.1,18.2,0.31,0.17,2.3,0.701,7.0,1,7.0,81.9,1
20.6,87.5,14.1,0.731,0.149,6.9,0.782,14.0,3,5.0,95.3,1
16.7,17.3,25.0,0.716,0.148,9.7,0.766,3.0,0,2.0,73.5,1
17.3,122.8,8.4,0.969,0.446,4.7,0.595,42.0,7,21.0,86.0,1
17.8,81.1,13.2,0.783,0.251,5.2,0.598,18.0,2,21.0,95.5,1
17.2,64.5,16.0,0.801,0.124,5.1,0.482,21.0,1,4.0,88.3,1
18.2,58.9,18.6,0.716,0.384,4.9,0.458,29.0,3,13.0,97.0,1
21.6,65.7,19.8,0.891,0.397,3.2,0.858,50.0,1,3.0,92.9,1
16.0,70.4,13.6,0.808,0.219,4.8,0.908,13.0,2,6.0,78.8,1
18.5,72.9,15.3,0.72,0.095,3.2,0.37,3.0,0,9.0,72.6,1
14.6,71.1,12.3,0.826,0.737,7.4,0.643,17.0,3,7.0,73.7,1
22.2,61.8,21.6,0.76,0.236,1.6,0.786,7.0,2,15.0,73.6,1
11.6,56.1,12.4,0.947,0.359,8.2,0.841,5.0,4,1.0,87.8,1
24.0,57.0,25.0,0.827,0.226,8.9,0.315,9.0,0,6.0,88.7,1
14.8,56.1,15.8,0.67,0.152,5.7,0.723,12.0,3,17.0,83.2,1
7.8,82.7,5.7,0.829,0.328,12.4,0.802,30.0,1,3.0,77.0,1
15.6,71.9,13.1,0.624,0.119,6.6,0.445,42.0,2,7.0,73.1,1
11.6,15.0,25.0,0.686,0.373,6.2,0.818,5.0,1,19.0,70.6,1
19.2,73.1,15.8,0.875,0.586,1.5,0.755,10.0,2,30.0,99.3,1
11.7,63.9,11.0,0.811,0.203,9.3,0.713,20.0,3,21.0,83.2,1
12.8,59.6,12.8,0.706,0.187,2.9,0.488,22.0,3,8.0,77.9,1
5.6,52.2,6.4,0.525,0.134,2.7,0.891,6.0,4,30.0,76.1,1
12.7,82.5,9.3,0.778,0.193,5.9,0.866,25.0,1,17.0,99.3,1
2.9,79.0,2.2,0.686,0.22,3.3,0.628,7.0,2,4.0,63.8,1
7.1,44.5,9.5,0.657,0.459,4.6,0.2,6.0,2,3.0,59.0,0
18.8,68.1,16.6,0.928,0.332,9.7,0.454,20.0,2,17.0,93.2,1
18.9,40.6,25.0,0.477,0.435,11.6,0.686,30.0,1,10.0,66.1,1
17.1,32.4,25.0,0.62,0.196,3.6,0.824,17.0,3,4.0,64.6,1
10.2,47.5,12.8,0.917,0.314,4.7,0.479,15.0,2,9.0,70.0,1
14.8,77.2,11.5,0.615,0.299,14.0,0.657,13.0,3,19.0,93.2,1
15.0,79.1,11.4,0.549,0.038,11.6,0.717,14.0,1,7.0,81.6,1
9.2,70.3,7.9,0.635,0.044,8.5,0.848,11.0,0,7.0,71.7,1
22.5,74.5,18.1,0.886,0.05,3.3,0.568,20.0,1,9.0,91.3,1
19.4,70.3,16.5,0.763,0.24,3.7,0.811,14.0,0,10.0,84.9,1
13.9,47.2,17.7,0.636,0.406,8.5,0.74,50.0,3,8.0,96.9,1
15.1,68.6,13.2,0.75,0.145,1.4,0.656,17.0,3,15.0,83.7,1
16.0,76.0,12.7,0.895,0.091,9.3,0.922,11.0,1,16.0,87.6,1
4.8,75.1,3.8,0.629,0.177,10.7,0.718,5.0,1,10.0,68.6,1
13.8,83.8,9.9,0.593,0.257,4.3,0.438,6.0,1,6.0,83.4,1
11.6,74.2,9.4,0.808,0.135,11.7,0.833,18.0,1,7.0,81.7,1
10.0,67.0,8.9,0.678,0.104,6.8,0.697,9.0,2,22.0,71.6,1
13.6,81.4,10.0,0.564,0.099,2.5,0.674,15.0,0,30.0,78.0,1
24.0,59.5,24.2,0.664,0.68,5.6,0.351,31.0,1,4.0,75.7,1
18.2,42.4,25.0,0.548,0.082,3.5,0.762,5.0,4,5.0,77.6,1
12.1,56.7,12.8,0.803,0.346,6.0,0.922,12.0,1,7.0,85.5,1
17.9,45.1,23.8,0.771,0.67,2.3,0.69,3.0,4,23.0,63.2,1
